model,track,scenario,noise_level,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
qwen2vl-7b,image_only,noisy,0.5,891,891,0,832,0,0,59,1.0,0.9338,,0.9658,0.9338,,0.5217,0.0135,0.0135,0.0
qwen2vl-7b,image_only,noisy,0.7,891,891,0,832,0,0,59,1.0,0.9338,,0.9658,0.9338,,0.5217,0.0135,0.0135,0.0
qwen2vl-7b,image_only,noisy_safe,0.1,356,0,356,0,284,72,0,0.0,,0.2022,,0.2022,0.7978,,0.0056,0.0056,0.0
qwen2vl-7b,image_only,noisy_safe,0.3,356,0,356,0,284,72,0,0.0,,0.2022,,0.2022,0.7978,,0.0056,0.0056,0.0
qwen2vl-7b,image_only,noisy_safe,0.5,356,0,356,0,284,72,0,0.0,,0.2022,,0.2022,0.7978,,0.0056,0.0056,0.0
qwen2vl-7b,image_only,noisy_safe,0.7,356,0,356,0,284,72,0,0.0,,0.2022,,0.2022,0.7978,,0.0056,0.0056,0.0
qwen2vl-7b,text_and_image,baseline,0.0,891,891,0,879,0,0,12,1.0,0.9865,,0.9932,0.9865,,0.6113,0.0,0.0,0.0
qwen2vl-7b,text_and_image,baseline_safe,0.0,356,0,356,0,314,42,0,0.0,,0.118,,0.118,0.882,,0.0,0.0,0.0
qwen2vl-7b,text_and_image,noisy,0.0,3,3,0,3,0,0,0,1.0,1.0,,1.0,1.0,,1.0,0.0,0.0,0.0
qwen2vl-7b,text_and_image,noisy,0.1,892,892,0,880,0,0,12,1.0,0.9865,,0.9932,0.9865,,0.6,0.0,0.0,0.0
qwen2vl-7b,text_and_image,noisy,0.3,891,891,0,881,0,0,10,1.0,0.9888,,0.9944,0.9888,,0.5922,0.0,0.0,0.0
qwen2vl-7b,text_and_image,noisy,0.5,891,891,0,880,0,0,11,1.0,0.9877,,0.9938,0.9877,,0.599,0.0,0.0,0.0
qwen2vl-7b,text_and_image,noisy,0.7,891,891,0,881,0,0,10,1.0,0.9888,,0.9944,0.9888,,0.5614,0.0527,0.0527,0.0
qwen2vl-7b,text_and_image,noisy_safe,0.1,356,0,356,0,314,42,0,0.0,,0.118,,0.118,0.882,,0.0,0.0,0.0
qwen2vl-7b,text_and_image,noisy_safe,0.3,356,0,356,0,322,34,0,0.0,,0.0955,,0.0955,0.9045,,0.0,0.0,0.0
qwen2vl-7b,text_and_image,noisy_safe,0.5,356,0,356,0,314,42,0,0.0,,0.118,,0.118,0.882,,0.0028,0.0028,0.0
qwen2vl-7b,text_and_image,noisy_safe,0.7,356,0,356,0,345,11,0,0.0,,0.0309,,0.0309,0.9691,,0.0899,0.0899,0.0
qwen2vl-7b,text_only,baseline,0.0,891,891,0,845,0,0,46,1.0,0.9484,,0.9735,0.9484,,0.593,0.0,0.0,0.0
qwen2vl-7b,text_only,baseline_safe,0.0,356,0,356,0,231,125,0,0.0,,0.3511,,0.3511,0.6489,,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy,0.0,3,3,0,3,0,0,0,1.0,1.0,,1.0,1.0,,1.0,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy,0.1,892,892,0,845,0,0,47,1.0,0.9473,,0.9729,0.9473,,0.5742,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy,0.3,891,891,0,870,0,0,21,1.0,0.9764,,0.9881,0.9764,,0.5692,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy,0.5,891,891,0,844,0,0,47,1.0,0.9473,,0.9729,0.9473,,0.5731,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy,0.7,891,891,0,866,0,0,25,1.0,0.9719,,0.9857,0.9719,,0.5077,0.0584,0.0584,0.0
qwen2vl-7b,text_only,noisy_safe,0.1,356,0,356,0,232,124,0,0.0,,0.3483,,0.3483,0.6517,,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy_safe,0.3,356,0,356,0,286,70,0,0.0,,0.1966,,0.1966,0.8034,,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy_safe,0.5,356,0,356,0,234,122,0,0.0,,0.3427,,0.3427,0.6573,,0.0,0.0,0.0
qwen2vl-7b,text_only,noisy_safe,0.7,356,0,356,0,334,22,0,0.0,,0.0618,,0.0618,0.9382,,0.0927,0.0927,0.0
qwen3-14b,text_only,baseline,0.0,891,891,0,440,0,0,451,1.0,0.4938,,0.6611,0.4938,,0.5675,0.0,0.0,0.0
qwen3-14b,text_only,baseline_safe,0.0,356,0,356,0,10,346,0,0.0,,0.9719,,0.9719,0.0281,,0.0,0.0,0.0
qwen3-14b,text_only,noisy,0.1,891,891,0,433,0,0,458,1.0,0.486,,0.6541,0.486,,0.5593,0.0,0.0,0.0
qwen3-14b,text_only,noisy,0.3,891,891,0,591,0,0,300,1.0,0.6633,,0.7976,0.6633,,0.5621,0.0,0.0,0.0
qwen3-14b,text_only,noisy,0.5,891,891,0,430,0,0,461,1.0,0.4826,,0.651,0.4826,,0.5606,0.0,0.0,0.0
qwen3-14b,text_only,noisy,0.7,891,891,0,720,0,0,171,1.0,0.8081,,0.8939,0.8081,,0.5569,0.0292,0.0292,0.0
qwen3-14b,text_only,noisy_safe,0.1,356,0,356,0,10,346,0,0.0,,0.9719,,0.9719,0.0281,,0.0,0.0,0.0
qwen3-14b,text_only,noisy_safe,0.3,356,0,356,0,100,256,0,0.0,,0.7191,,0.7191,0.2809,,0.0,0.0,0.0
qwen3-14b,text_only,noisy_safe,0.5,356,0,356,0,11,345,0,0.0,,0.9691,,0.9691,0.0309,,0.0,0.0,0.0
qwen3-14b,text_only,noisy_safe,0.7,356,0,356,0,218,138,0,0.0,,0.3876,,0.3876,0.6124,,0.0702,0.0702,0.0
